epoch,rollout,ligand_rmsd,contacts,pocket_dist,hbonds,raw_reward,z_reward,loss
1,1,11.390,321.96,10.284,4,11.2804,0.7387,-7.2011
1,2,11.370,320.98,10.263,4,11.2444,-0.5313,8.1088
1,3,11.428,322.44,10.343,4,11.2920,1.1514,-11.2714
1,4,11.405,320.57,10.317,4,11.2210,-1.3588,20.7468
2,1,11.344,323.69,10.245,4,11.3560,0.9162,-8.8695
2,2,11.421,323.21,10.272,3,11.3300,0.4150,-4.0349
2,3,11.456,320.73,10.358,4,11.2207,-1.6909,25.7818
2,4,11.422,323.24,10.314,3,11.3271,0.3596,-3.4850
3,1,11.357,321.74,10.247,4,11.2769,-0.1690,2.5825
3,2,11.411,321.84,10.316,4,11.2716,-0.2155,3.2916
3,3,11.487,319.15,10.321,4,11.1594,-1.1954,18.2598
3,4,11.371,326.84,10.277,4,11.4773,1.5799,-15.2808
4,1,11.334,321.63,10.222,4,11.2762,-0.5503,8.3933
4,2,11.362,323.11,10.264,4,11.3298,0.2710,-2.6079
4,3,11.340,320.61,10.235,4,11.2340,-1.1992,18.3201
4,4,11.355,324.97,10.224,3,11.4084,1.4784,-14.2117
5,1,11.422,321.05,10.322,4,11.2388,-0.4273,6.5233
5,2,11.412,321.49,10.245,4,11.2647,0.0074,-0.0715
5,3,11.302,323.55,10.189,4,11.3580,1.5755,-15.2793
5,4,11.406,319.90,10.302,4,11.1955,-1.1555,17.6463
6,1,11.479,321.57,10.318,4,11.2572,-0.3663,5.5950
6,2,11.344,323.96,10.242,4,11.3672,0.9678,-9.3389
6,3,11.393,319.12,10.292,4,11.1659,-1.4730,22.4666
6,4,11.375,323.88,10.271,4,11.3593,0.8715,-8.4438
7,1,11.379,320.92,10.210,3,11.2470,-0.8778,13.4101
7,2,11.393,326.55,10.294,4,11.4629,1.5983,-15.5270
7,3,11.362,323.15,10.259,4,11.3319,0.0956,-0.9279
7,4,11.525,321.62,10.363,4,11.2524,-0.8160,12.4659
8,1,11.390,318.52,10.263,3,11.1450,-1.6960,25.9116
8,2,11.442,324.41,10.328,3,11.3716,0.3843,-3.7001
8,3,11.348,325.43,10.226,3,11.4274,0.8962,-8.6849
8,4,11.306,324.02,10.203,4,11.3750,0.4154,-4.0623
9,1,11.363,320.03,10.262,4,11.2068,-0.6591,10.0598
9,2,11.342,325.09,10.239,4,11.4126,1.7198,-16.6720
9,3,11.431,320.21,10.319,3,11.2049,-0.6807,10.4026
9,4,11.445,320.93,10.341,4,11.2309,-0.3801,5.8042
10,1,11.390,321.91,10.294,4,11.2774,1.1713,-11.4263
10,2,11.384,318.67,10.275,4,11.1501,-0.6042,9.2320
10,3,11.222,320.45,10.105,4,11.2466,0.7416,-7.1253
10,4,11.435,317.47,10.276,3,11.0996,-1.3088,19.9851
11,1,11.399,322.39,10.227,4,11.3029,1.6527,-15.9247
11,2,11.356,320.99,10.259,4,11.2461,-1.0323,15.7655
11,3,11.384,321.43,10.284,4,11.2598,-0.3829,5.8393
11,4,11.397,321.51,10.278,3,11.2629,-0.2375,3.6300
12,1,11.279,323.15,10.172,4,11.3449,-0.3632,5.5470
12,2,11.315,325.18,10.207,4,11.4209,0.6935,-6.6494
12,3,11.431,321.76,10.326,4,11.2664,-1.4560,22.2404
12,4,11.355,326.11,10.248,4,11.4519,1.1257,-10.8792
13,1,11.458,322.57,10.296,4,11.3004,1.0420,-10.0795
13,2,11.443,322.19,10.277,3,11.2877,0.8937,-8.6115
13,3,11.470,317.74,10.377,4,11.0983,-1.3158,20.0957
13,4,11.472,319.10,10.323,4,11.1580,-0.6199,9.4551
14,1,11.362,320.26,10.261,4,11.2163,-0.5645,8.6224
14,2,11.439,319.35,10.348,4,11.1674,-1.2316,18.8078
14,3,11.398,322.11,10.293,4,11.2850,0.3729,-3.5825
14,4,11.322,323.75,10.218,4,11.3620,1.4232,-13.7648
15,1,11.324,322.72,10.220,4,11.3207,0.5349,-5.2010
15,2,11.403,323.80,10.297,4,11.3522,1.1320,-10.9212
15,3,11.404,322.18,10.303,4,11.2867,-0.1112,1.6997
15,4,11.417,320.32,10.316,4,11.2105,-1.5557,23.7622
