epoch,batch,loss,grad_norm
1,1,0.175463,0.0000
1,2,0.167438,0.0000
1,3,0.180676,0.0000
1,4,0.193470,0.0000
1,5,0.178222,0.0000
1,6,0.203438,0.0000
1,7,0.174401,0.0000
1,8,0.222487,0.0000
1,9,0.190071,0.0000
1,10,0.195067,0.0000
1,11,0.194018,0.0000
1,12,0.217162,0.0000
1,13,0.185101,0.0000
1,14,0.194516,0.0000
1,15,0.180199,0.0000
1,16,0.205190,0.0000
1,17,0.193181,0.0000
1,18,0.191679,0.0000
1,19,0.190996,0.0000
1,20,0.199632,0.0000
1,21,0.164258,0.0000
1,22,0.211904,0.0000
1,23,0.185769,0.0000
1,24,0.204784,0.0000
1,25,0.206717,0.0000
1,26,0.171299,0.0000
1,27,0.198703,0.0000
1,28,0.190322,0.0000
1,29,0.177579,0.0000
1,30,0.201626,0.0000
1,31,0.159620,0.0000
1,32,0.201660,0.0000
1,33,0.184435,0.0000
1,34,0.206326,0.0000
1,35,0.175839,0.0000
1,36,0.179495,0.0000
1,37,0.191928,0.0000
1,38,0.170365,0.0000
1,39,0.229174,0.0000
1,40,0.196759,0.0000
1,41,0.200310,0.0000
1,42,0.186813,0.0000
1,43,0.197143,0.0000
1,44,0.181342,0.0000
1,45,0.186723,0.0000
1,46,0.215491,0.0000
1,47,0.175160,0.0000
1,48,0.182747,0.0000
1,49,0.188125,0.0000
1,50,0.200429,0.0000
2,1,0.216668,0.0000
2,2,0.163989,0.0000
2,3,0.196155,0.0000
2,4,0.220439,0.0000
2,5,0.179735,0.0000
2,6,0.198453,0.0000
2,7,0.182138,0.0000
2,8,0.188156,0.0000
2,9,0.200827,0.0000
2,10,0.189145,0.0000
2,11,0.177104,0.0000
2,12,0.199229,0.0000
2,13,0.188284,0.0000
2,14,0.191417,0.0000
2,15,0.202728,0.0000
2,16,0.177237,0.0000
2,17,0.176815,0.0000
2,18,0.182879,0.0000
2,19,0.159124,0.0000
2,20,0.172710,0.0000
2,21,0.176999,0.0000
2,22,0.203413,0.0000
2,23,0.171163,0.0000
2,24,0.178424,0.0000
2,25,0.197399,0.0000
2,26,0.211648,0.0000
2,27,0.174929,0.0000
2,28,0.175418,0.0000
2,29,0.218152,0.0000
2,30,0.188558,0.0000
2,31,0.185454,0.0000
2,32,0.247231,0.0000
2,33,0.198289,0.0000
2,34,0.183409,0.0000
2,35,0.161311,0.0000
2,36,0.190237,0.0000
2,37,0.200388,0.0000
2,38,0.178100,0.0000
2,39,0.204314,0.0000
2,40,0.175459,0.0000
2,41,0.190233,0.0000
2,42,0.194546,0.0000
2,43,0.181213,0.0000
2,44,0.192289,0.0000
2,45,0.191762,0.0000
2,46,0.189659,0.0000
2,47,0.181958,0.0000
2,48,0.186212,0.0000
2,49,0.175483,0.0000
2,50,0.218717,0.0000
3,1,0.170403,0.0000
3,2,0.193575,0.0000
3,3,0.187088,0.0000
3,4,0.314012,0.0000
3,5,0.182897,0.0000
3,6,0.199360,0.0000
3,7,0.186158,0.0000
3,8,0.197291,0.0000
3,9,0.168396,0.0000
3,10,0.196800,0.0000
3,11,0.194796,0.0000
3,12,0.183443,0.0000
3,13,0.203181,0.0000
3,14,0.169723,0.0000
3,15,0.182377,0.0000
3,16,0.378646,0.0000
3,17,0.219245,0.0000
3,18,0.190023,0.0000
3,19,0.196101,0.0000
3,20,0.199918,0.0000
3,21,0.164250,0.0000
3,22,0.185141,0.0000
3,23,0.175145,0.0000
3,24,0.208005,0.0000
3,25,0.186616,0.0000
3,26,0.199777,0.0000
3,27,0.244699,0.0000
3,28,0.188915,0.0000
3,29,0.176885,0.0000
3,30,0.192592,0.0000
3,31,0.182704,0.0000
3,32,0.203591,0.0000
3,33,0.185405,0.0000
3,34,0.192071,0.0000
3,35,0.193735,0.0000
3,36,0.175527,0.0000
3,37,0.171201,0.0000
3,38,0.196089,0.0000
3,39,0.185226,0.0000
3,40,0.196103,0.0000
3,41,0.185988,0.0000
3,42,0.197413,0.0000
3,43,0.183764,0.0000
3,44,0.179823,0.0000
3,45,0.193219,0.0000
3,46,0.196499,0.0000
3,47,0.188093,0.0000
3,48,0.176161,0.0000
3,49,0.193922,0.0000
3,50,0.185407,0.0000
4,1,0.212404,0.0000
4,2,0.166620,0.0000
4,3,0.212368,0.0000
4,4,0.179366,0.0000
4,5,0.225324,0.0000
4,6,0.214275,0.0000
4,7,0.198655,0.0000
4,8,0.188221,0.0000
4,9,0.166190,0.0000
4,10,0.184678,0.0000
4,11,0.195924,0.0000
4,12,0.195642,0.0000
4,13,0.182783,0.0000
4,14,0.197128,0.0000
4,15,0.199888,0.0000
4,16,0.215189,0.0000
4,17,0.178669,0.0000
4,18,0.178841,0.0000
4,19,0.177221,0.0000
4,20,0.159823,0.0000
4,21,0.215423,0.0000
4,22,0.172495,0.0000
4,23,0.194589,0.0000
4,24,0.183357,0.0000
4,25,0.198275,0.0000
4,26,0.190237,0.0000
4,27,0.207840,0.0000
4,28,0.205596,0.0000
4,29,0.468009,0.0000
4,30,0.182750,0.0000
4,31,0.206930,0.0000
4,32,0.220510,0.0000
4,33,0.180209,0.0000
4,34,0.183270,0.0000
4,35,0.186098,0.0000
4,36,0.237761,0.0000
4,37,0.207808,0.0000
4,38,0.177691,0.0000
4,39,0.183077,0.0000
4,40,0.174588,0.0000
4,41,0.203037,0.0000
4,42,0.169171,0.0000
4,43,0.194432,0.0000
4,44,0.173891,0.0000
4,45,0.202006,0.0000
4,46,0.165894,0.0000
4,47,0.206112,0.0000
4,48,0.177825,0.0000
4,49,0.193245,0.0000
4,50,0.183080,0.0000
5,1,0.230411,0.0000
5,2,0.182059,0.0000
5,3,0.208523,0.0000
5,4,0.190286,0.0000
5,5,0.187883,0.0000
5,6,0.173079,0.0000
5,7,0.169451,0.0000
5,8,0.202861,0.0000
5,9,0.211837,0.0000
5,10,0.203409,0.0000
5,11,0.226290,0.0000
5,12,0.182021,0.0000
5,13,0.203962,0.0000
5,14,0.189121,0.0000
5,15,0.203136,0.0000
5,16,0.193833,0.0000
5,17,0.165819,0.0000
5,18,0.176318,0.0000
5,19,0.176919,0.0000
5,20,0.190970,0.0000
5,21,0.184950,0.0000
5,22,0.210309,0.0000
5,23,0.165136,0.0000
5,24,0.196212,0.0000
5,25,0.183956,0.0000
5,26,0.245947,0.0000
5,27,0.189208,0.0000
5,28,0.194819,0.0000
5,29,0.211138,0.0000
5,30,0.185917,0.0000
5,31,0.208819,0.0000
5,32,0.202756,0.0000
5,33,0.197686,0.0000
5,34,0.189702,0.0000
5,35,0.207069,0.0000
5,36,0.217865,0.0000
5,37,0.186293,0.0000
5,38,0.183852,0.0000
5,39,0.198128,0.0000
5,40,0.203502,0.0000
5,41,0.209966,0.0000
5,42,0.209451,0.0000
5,43,0.215839,0.0000
5,44,0.197408,0.0000
5,45,0.209676,0.0000
5,46,0.201111,0.0000
5,47,0.196741,0.0000
5,48,0.189124,0.0000
5,49,0.199725,0.0000
5,50,0.172352,0.0000
